userid,twitch
1138292,kermeytheefrog
1796735,unbrokenstreams
1387817,meagan
1009008,1bondi
1494240,mickslammit
2153833,shostak
1429264,r3nch
192093,thebigkao
2158041,verzar6
2119485,1yenoh
882979,dinger111
1926536,walrusafb
937877,syzba
2199345,christianmvasquez
1249224,shmitegod
662860,goofplays
1394290,sleepyxd
615304,nastytrick420
1381577,gohotie
299233,blairski7
1291405,rynoo
421235,toyr34
1878807,professorbeetus
325022,dum0re
1509579,b3njymn
1574747,1sparx
1760028,thebestbros2
1840098,toureyy
365701,humbabeast
2149952,royl_ty
2131848,childrensadvil1
2042400,denya_cs
919786,itsmebemar
1801694,evolusionz
1495335,jmfka
866967,aleksandarhz
826029,nerd0cs
1985640,josh_swan21
1103880,tazzjr
129542,bigern_tv
387413,znfcs
685802,sgblackblood
2212044,purple506
790667,readdyeddy
1279443,zan0theman0
937871,ulti_maxxx
579253,the_boy_scout
1177398,illusiveparagon
846356,spiffster_
1906759,officialf0xey
841377,beastbox
1714596,noomz_
1682246,n1copz
1218825,hmu_tv
906367,dabestchicken
194706,boboskiii
834348,mitchiin
962649,huston_tv
1737111,theonebach
1731682,storfisk
1107041,squidah_
1465126,zigster
1836813,rovuh
401098,drunkinzt
2178280,kck4
1199677,hacking_tv
1467649,palombatv
2187678,idkhdd
1802474,ablaze___
271881,cok4in
1696285,m1nat0
655676,icyphoenix_tv
1206342,clairvoyantgoose
2047383,soapbox_gaming
1627496,jvxt_
1655042,vzohhck
2192959,glyyphh
1387887,nova_pc
1983914,mad3sto
1507871,j9shtv
1866332,nutty_live
2172581,josh_ortega
1386535,paxtonps
939345,wheatie97
2155966,sstubborn
1044639,motm
1257373,novices
1299340,bratty
852021,alert_tv
1737851,jethro_sb
1405346,inseaniac_tv
1574859,covertplague
1775683,zevrooo
200397,moeseftv
1100743,its_slim_
1065252,xtr_nbf
2149022,gc_ttv
1730870,hammerna
1975519,codsky
603521,farthammer1sg
398940,vertsiepoo
1977427,kmzbn
788115,itzace_gg
1131836,jqsncs
2139504,ariscs
1340339,henos_tv
1675734,isopandaman
399250,troyboy94
1688033,itrxgic
1043755,nape
1705333,illusion_gallo
2164732,bocumah
1770951,calh95
1801129,slaynugget
2071957,1xiro
2022436,v0idzerr0r
1369284,youngsacrifice
2096761,checkodaplug
97632,niboom89
1944693,theonlycozyboy
1276926,jerk1
1029915,gajokerl
2086969,deejayfu
2178707,gtjninjaboy
1536284,flash__cs
1499842,rocoiwnl
697670,ib3_tv
1199552,imjynxlive
1463904,ec0nica
1166730,nostalgic_n1
379870,maestromiike
1424895,nick_thacker
1805110,lirimmz
2190383,crimgame
492052,doubleapple
532419,chimu90
1343582,itssnow_cs
73278,sh0ts
214595,w1rednp
1532029,vektv
1178803,leifzera
727257,concuring
1097343,minusscs
1367522,masonhtv
1949316,zijuu
1628908,st0oker
1774792,las_cs
2076581,fangjc_
1087926,didlercs
1426904,ferknights
2059308,auxxjesus
2219327,alexastro
900172,fyre1011
1435142,zephe
1388510,notthatbajj
1019510,swifttt_tv
179518,revolt6
1787905,franchiselol
1810232,arzee_cs
819582,itzrgt
1136482,bunnyisbad
42199,grewia
1179322,zanderd
1327495,gdpink
2100214,pe3kab0o
1644420,officialkoji
1671191,bkoelsch138
1632202,speedie_csgo
980427,lenoncsgo
1529403,1bennyy
1929296,ukritt
1042889,rsherps
1819911,vprex
1870979,realxsg
1751488,modernkeyboard
1561172,aura2d
1333032,etzsy
1808636,itzyaboiron
482490,cepiita
1041262,katsucs
1644213,goondolf
1816705,1stillmatic
472812,fenomm
664812,daedus
1044717,citrix_
10587,dabearsniner
995108,rectum_spectrum
2192417,imbennyb
1710089,svnxd
1560065,mayorsayso
2175238,roarthor
2025608,piktorial
1286746,doodiehead
997470,the_doobie
149791,feebz_tv
427236,nopecsnosekx
1555991,whaalictv
1886047,exoticcsz
1272756,devon7422
1581788,amnesia_cs
1826374,iamricardus
1946919,jayypee02
263026,andrewman
1156527,arsolanda
1385270,itsanbu_
1560076,iamkayj
2080078,daylight74
1072602,tor1towow
2068605,str8razor
1961963,de_lem0n
2127818,funies
1872061,mj4k_
1622644,meatt
1780339,twe4ke
1158048,makzwell
1806524,staxx801
66920,herovit
1697653,gamingnos
642567,jmoh
1263010,kschneider9
2036874,exc1x
1746818,crossbar18
2002845,cilantro_live
484185,2bamboozled
793317,aesthetic1g
181587,oct_tv
1667470,alejo98vs
1694689,kelxdd
2194908,pandacchaos
1277879,nannerss_
2197321,animegorls
857387,magicrit
640265,sakul_tv
833404,blunt_af
1320892,alayla
1834447,maclynch0828
380137,snailtopia
1837800,habashii
134130,largochamp
2054200,randomainia
719370,xdustee
1815353,mattbenvegnu12
1376615,maskk_tv
604918,lolatyourswag
2016048,dropdeadlexi
645987,fps_chrishott
756886,dooran
727449,bug_cs
386661,jmaldocs
1121487,izzawrap
236646,rheewind
1715183,dgen_tv
454301,tekkys
1485495,igodplayz
1462862,godthena_tv
709948,iliketarik
1235659,cryptt
1478537,swankynastya
1687253,scarrcs
878334,kingbonoboqc
1908959,raeda
2028725,mr_worthy
1865619,physifyee
1792093,bryanhardy121
1291108,yaboisalad
2212523,lordnm
1155100,mirthie
2030372,gm_rel
1166580,1herocs
1432972,laza413
318664,codyburrr
647014,smartcs
1615788,chewiessthong
2079496,clementinee_
1654387,paukbhop
1292633,jaamm
1529368,alexb_
2214336,qtemperr
1112779,xzencs
1737592,tors0_
2155372,to3tagz
2199564,rogerbiometal
1566863,polaroidnx
1880297,nicxcs
103490,esea_r00t
915365,poisonnd
424900,tv_deka
2144807,bosschiefman
891345,suptj
1563523,debug_tv
1719657,mististaken
1017145,enterlb
1744237,psychopathclientlive
2104919,kirshier
1975041,1kosh
1682600,very_classic
2149777,whitetehshadow
1137669,averageassassin321
2164239,zealyth_
498856,manzkid
1595002,1mountainog
881721,c0nfusiontv
179289,jsetv
1422664,slayerhz
1127065,immenson
2080937,sizarroowo
778235,xirttv
1221382,tokieze
1200001,samanthaeg
895926,da_ft
1655239,cjxy
1160903,tannersorensen
1426830,carncs_tv
219140,nohobobro
612102,dakzrp
2183254,etossed
1269638,jewkcs
1426898,moechilla
2190412,wrangle
734387,ethxnnnn
1853450,samster_cs
1826067,snoob_
2105432,alcapone807
1805447,the_merit
237029,msxshots
2190415,dire_cs
826034,sotz02
2186789,soggybiscuit99
1366106,chawkgaming
1064814,andrewemory1997
864071,bertnasty_
2118979,scem
1037915,ehhspartan
2041291,godmunks
1711297,sw_i_ms
221979,heartbreaker_tv
627886,bmaxgg
1545680,itsdadbod
2147013,jonnyza
1477865,german66
2199596,synge
1889771,strok
1735899,the_on1y_hydra
1015443,honglyy
834309,phightme
1103454,chill3k
1125196,vrfys
2162569,mattcdoeyt
673550,nicholaspcs
83352,yayooo_tv
1462170,lilpanda285
1816469,nom_cs
1220090,1cojomo
2169175,sushizcs
1051350,nzer0name
1027586,tflug
2017219,pyuxfn
877056,root1
319450,johnsterrr
521309,hellzaoocsgo
566896,jtgpc
1349170,itsofficialnathan
1171045,austingw
1852717,tstagered
1562665,gamerbrozcs
79017,fpsfootwork
1407710,scorchyybc
2171513,zan3rg
513231,sn0wdog
942808,matriick
1406820,bot_sh4rk
1873275,vitobad
1748646,spcfoxtv
940171,bau3r
1435201,iserac
1184553,iowaaa
1101518,fkmdead
1875185,lfirztl
534662,joelxyz
1373250,reekris87
