twitch,rank_A,rank,num_days_chat,num_days_video,followers_03
"chawkgaming",1,"A",5,5,139
"kazzancs",1,"A",3,4,188
"wheatie97",1,"A",5,8,136
"znfcs",1,"A",1,5,1077
"ferknights",1,"A",4,3,56
"retroxox",1,"A",2,2,138
"herovit",1,"A",1,4,2170
"ro_cs",1,"A",6,6,1433
"hello_kaykay",1,"A",2,8,3585
"masamxne",1,"A",2,2,442
"toyr34",1,"A",4,3,1242
"bunnyisbad",1,"A",5,2,91
"jms832",1,"A",1,1,131
"sharkie_tv",1,"A",7,13,513
"motm",1,"A",7,5,4354
"fenomm",1,"A",2,2,237
"draxido",1,"A",1,1,27
"l1sp1",1,"A",2,3,36
"paxtonps",1,"A",2,3,62
"ehhspartan",1,"A",4,4,39
"nitsua_tv",1,"A",5,7,731
"moechilla",1,"A",6,8,53
"kelxdd",1,"A",4,10,89
"aka_jermaine",1,"A",2,1,117
"ariscs",1,"A",3,1,116
"hellzaoocsgo",1,"A",2,2,582
"lexcs",1,"A",6,5,73611
"deadhuntar",1,"A",6,11,742
"robbyo",1,"A",4,1,53
"cuz1h",1,"A",1,5,2482
"xperplexity",1,"A",2,3,37
"blairski7",1,"A",8,13,141
"doodiehead",1,"A",1,2,30
"jewkcs",1,"A",5,3,-1
"theia",1,"A",6,9,24825
"kermeytheefrog",1,"A",2,6,215
"1mannym",1,"A",6,9,306
"gamerbrozcs",1,"A",2,1,87
"rovuh",1,"A",1,1,105
"hazardouslive",1,"A",6,16,1162
"blakerscs",1,"A",5,6,353
"piktorial",1,"A",3,8,36
"ulti_maxxx",1,"A",1,3,105
"cjpriku",1,"A",4,2,264
"mockcs",1,"A",1,5,208
"1herocs",1,"A",2,7,438
"scruffy_shrooms",1,"A",2,6,300
"k3vin_csgo",1,"A",3,1,24
"makzwell",1,"A",2,1,368
"lolatyourswag",1,"A",2,6,499
"traviskun_",1,"A",3,4,27
"aleksandarhz",1,"A",3,2,1018
"therealflixxy",1,"A",3,5,135
"imjynxlive",1,"A",4,9,162
"zaddynguyens",1,"A",1,6,195
"beastbox",1,"A",2,4,2002
"sh0ts",1,"A",7,10,29556
"inseaniac_tv",1,"A",6,17,239
"minusscs",1,"A",3,3,194
"hammerna",1,"A",3,5,45
"noxio",1,"A",4,10,608
"lenoncsgo",1,"A",3,2,104
"las_cs",1,"A",6,13,545
"fvrop",1,"A",1,1,384
"nastytrick420",1,"A",1,2,93
"nguyen_cs",1,"A",1,0,226
"xzencs",1,"A",3,0,61
"hated2k",1,"A",1,0,32
"goldiwnl",1,"A",1,0,34
"n1copz",1,"A",1,0,24
"kmzbn",1,"A",2,0,140
"henos_tv",1,"A",1,0,51
"vertsiepoo",1,"A",1,0,-1
"mickslammit",1,"A",1,0,123
"c0nfusiontv",1,"A",1,0,93
"hydrexcs",1,"A",3,0,1704
"ipleadthe5cs",1,"A",1,0,236
"nightsifyy",1,"A",5,0,176
"kaboosecs",1,"A",5,0,3277
"trig8787",1,"A",1,0,4322
"strik3r_13",1,"A",3,0,43
"muppet4k",1,"A",2,0,83
"jaamm",1,"A",1,0,98
"citoxez",1,"A",1,0,2
"puggcsgo",1,"A",1,0,9
"sanson_tv",1,"A",4,0,64
"danknastycs",1,"A",0,0,22
"ukritt",1,"A",0,0,37
"fiendlul",1,"A",0,0,38
"itzyaboiron",1,"A",0,0,34
"raeda",1,"A",0,0,47
